,cid,name,atc_code
0,2,"1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",
1,3,"5,6-Dihydroxycyclohexa-1,3-diene-1-carboxylic acid",
2,4,1-Aminopropan-2-ol,
3,5,3-Amino-2-oxopropyl phosphate,
4,6,"1-Chloro-2,4-dinitrobenzene",
5,7,9-Ethyladenine,
6,8,"2,3-Dihydroxy-3-methylpentanoic acid",
7,9,"(2,3,4,5,6-Pentahydroxycyclohexyl) dihydrogen phosphate",
8,10,CID 10,
9,11,"1,2-Dichloroethane",
10,12,"1,2,3,5-Tetrahydroxybenzene",
11,13,"1,2,4-Trichlorobenzene",
12,14,7-[3-Hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid,
13,15,17-Hydroxyandrostan-3-one,
14,16,"1,8-Diazacyclotetradecane-2,9-dione",
15,17,"2,3-Dihydropyridine-2,6-dicarboxylic acid",
16,18,"2,3-dioxo-L-gulonic",
17,19,"2,3-Dihydroxybenzoic acid",
18,20,"3-(2,3-Dihydroxyphenyl)propanoic acid",
19,21,2-Aceto-2-hydroxybutanoate,
20,22,2-Hydroxy-2-methyl-3-oxobutanoic acid,
21,23,CID 23,
22,24,"2-Amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one",
23,25,CID 25,
24,26,"1-(2-Amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione",
25,27,CID 27,
26,28,"2,4-Hexadienedioicacid, 2-amino-",
27,29,3-Oxoalanine,
28,30,"2-Amino-6-oxohexa-2,4-dienoic acid",
29,31,"(2,3,4-Trihydroxy-3-methylbutyl) dihydrogen phosphate",
30,32,"1,3-Butadiene-1,1,4-tricarboxylic acid",
31,33,Chloroacetaldehyde,
32,34,2-Chloroethanol,
33,35,"(2-Chloro-5-oxo-2,5-dihydro-2-furyl)acetic acid",
34,36,2-Hydroxy-3-isopropylsuccinic acid,
35,37,3-Deoxyhex-2-ulosonic acid,
36,38,2-Dehydropantoate,
37,39,"Dihydro-4,4-dimethyl-2,3-Furandione",
38,40,2-Deoxyhexopyranose,
39,41,"1-Penten-3-one, 2-hydroxy-5-(methylthio)-1-(phosphonooxy)-",
40,42,"2-Hydroxy-6-oxonona-2,4-dienedioic acid",
41,43,2-Hydroxyglutaric acid,
42,44,Tartronate,
43,45,Tartronic acid,
44,46,3-Deoxy-6-O-phosphonohex-2-ulosonic acid,
45,47,3-Methyl-2-oxovaleric acid,
46,48,alpha-Ketoglutaramate,
47,49,3-Methyl-2-oxobutanoic acid,
48,50,2-keto-L-gluconate,
49,51,2-Oxoglutaric acid,
50,52,"(2S,3R)-3-Hydroxy-2-methylbutanoyl-CoA",
51,53,alphamethylacetoacetyl CoA,
52,54,2-methylbutyryl-CoA,
53,55,"3-(3,7,11,15,19,23,27,31-Octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol",
54,56,"2-(3,7,11,15,19,23,27-Heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol",
